listing_id,neighbourhood,zipcode,price
2595,Midtown,10018,225
5172,Murray Hill,10016,129
6090,West Village,10014,175
6848,Williamsburg,11211,140
8490,Bedford-Stuyvesant,11216,120
9704,Harlem,10027,52
13050,Bedford-Stuyvesant,11221,115
13076,Prospect Heights,11238,81
13394,Fort Greene,11205,80
13552,Upper West Side,10023,120
14287,Upper West Side,10024,170
14314,Greenpoint,11222,144
14322,Kips Bay,10010,200
14991,Lower East Side,10002,100
15220,Hell's Kitchen,10018,69
15338,Williamsburg,11222,49
15341,Soho,10002,180
16284,,10011,179
16422,Flatbush,11226,60
17747,Clinton Hill,11238,105
18198,Woodside,11377,70
18764,Williamsburg,11211,145
19159,Hamilton Heights,10031,120
19601,Brooklyn Heights,11201,800
19812,Williamsburg,11211,105
20611,Williamsburg,11211,85
20724,Bushwick,11206,65
20913,,11211,100
23135,Carroll Gardens,11231,175
25406,Williamsburg,11211,139
26559,East Village,10009,140
26864,Williamsburg,11211,90
27024,Chelsea,10001,125
27531,Park Slope,11215,99
27659,Park Slope,11215,400
28321,Lefferts Garden,11225,75
28396,Williamsburg,11211,90
30031,Greenpoint,11222,50
32023,Bedford-Stuyvesant,11233,125
32289,Williamsburg,11211,199
32969,Williamsburg,11211,160
34760,Fort Greene,11205,44
35526,West Village,10014,156
38638,Upper East Side,10028,219
38833,Harlem,10030,129
39572,Hell's Kitchen,10019,119
39704,Bedford-Stuyvesant,11216,139
39755,Upper West Side,10025,250
41348,Gowanus,11215,250
42729,Carroll Gardens,11231,165
42882,St. George,10301,70
43957,Bushwick,11237,50
44096,Highbridge,10452,40
44221,Financial District,10006,225
44288,West Village,10014,150
45393,West Village,10014,150
45556,Fort Greene,11217,65
45936,Morningside Heights,10025,99
46544,Park Slope,11217,150
46723,Bedford-Stuyvesant,11216,90
51485,Lower East Side,10002,83
54453,Hell's Kitchen,10019,105
54508,Prospect Heights,11217,100
54626,Highbridge,10452,48
54860,East Harlem,10035,100
55467,Williamsburg,11211,140
55565,Bedford-Stuyvesant,11206,120
56467,East Village,10003,130
57618,Hell's Kitchen,10019,250
59855,Midtown East,10022,250
60794,Upper West Side,10025,195
62264,Williamsburg,11211,65
62430,Bushwick,11221,99
62452,West Brighton,10301,29
62680,East Village,10003,135
63299,Williamsburg,11211,59
63573,Park Slope,11215,60
63610,Eastchester,10475,99
64000,Williamsburg,11211,60
